time	name	error	cpu	duration
1524231335.08	DNALetterCount	null	0.0	0.0482079982758
1524231335.23	Entropy	null	16.7	0.0061891078949
1524231335.3	MaxMinProb	null	11.1	0.0176689624786
1524231343.45	FastQC	error	16.7	0.121922969818
1524231343.63	DNALetterCount	null	14.3	0.0322260856628
1524231351.74	DNALetterCount	null	0.0	0.0486199855804
1524231351.89	Entropy	null	0.0	0.00620102882385
1524231351.97	MaxMinProb	null	50.0	0.0114572048187
1524231358.06	FastQC	error	47.1	0.155478954315
1524231358.24	DNALetterCount	null	60.0	0.0326430797577
1524231358.35	Entropy	null	20.0	0.00580501556396
1524231360.42	DNALetterCount	null	0.0	0.0486590862274
1524231360.58	Entropy	null	0.0	0.0061731338501
1524231360.66	MaxMinProb	null	0.0	0.0111429691315
1524231368.75	FastQC	error	23.0	0.121270895004
1524231368.9	DNALetterCount	null	0.0	0.0418190956116
1524231376.04	FastQC	error	20.3	3.16892910004
1524231379.25	DNALetterCount	null	0.0	0.030650138855
1524231379.39	Entropy	null	20.0	0.00642609596252
1524231383.48	FastQC	error	22.8	0.142926931381
1524231383.68	DNALetterCount	null	20.0	0.0449969768524
1524231385.8	DNALetterCount	null	16.7	0.0388829708099
1524231385.96	Entropy	null	0.0	0.00534200668335
1524231386.03	MaxMinProb	null	0.0	0.0115711688995
1524231388.13	FastQC	error	20.5	0.149116039276
1524231388.33	DNALetterCount	null	0.0	0.0483031272888
1524231388.46	Entropy	null	0.0	0.00622797012329
1524231394.54	FastQC	error	23.2	0.126669168472
1524231394.7	DNALetterCount	null	14.3	0.0394699573517
1524231394.84	Entropy	null	33.3	0.00594997406006
1524231401.91	FastQC	null	20.0	2.21742892265
1524231404.23	DNALetterCount	null	0.0	0.0373408794403
1524231405.39	FastQC	error	17.8	0.126399040222
1524231405.57	DNALetterCount	null	28.6	0.0386109352112
1524231410.73	DNALetterCount	null	0.0	0.0529329776764
1524231410.91	Entropy	null	20.0	0.00532078742981
1524231410.98	MaxMinProb	null	25.0	0.0109272003174
1524231412.07	DNALetterCount	null	38.5	0.0485498905182
1524231412.24	Entropy	null	0.0	0.00549602508545
1524231412.3	MaxMinProb	null	0.0	0.0124220848083
1524231420.43	FastQC	error	26.2	0.136701107025
1524231420.6	DNALetterCount	null	25.0	0.0284578800201
1524231425.71	FastQC	error	26.7	3.16275501251
1524231428.91	DNALetterCount	null	11.1	0.0597429275513
1524231429.1	Entropy	null	0.0	0.00636601448059
1524231432.19	FastQC	error	36.5	3.18512201309
1524231435.43	DNALetterCount	null	60.0	0.0401041507721
1524231435.55	Entropy	null	66.7	0.00667691230774
1524231435.62	MaxMinProb	null	50.0	0.0118541717529
1524231437.71	DNALetterCount	null	20.0	0.060338973999
1524231437.89	Entropy	null	20.0	0.00595712661743
1524231437.96	MaxMinProb	null	11.1	0.0172410011292
1524231445.07	FastQC	null	0	0
