time	tool	cpuload
1524231335.08	DNALetterCount	0.0
1524231335.23	Entropy	16.7
1524231335.3	MaxMinProb	11.1
1524231343.45	FastQC	16.7
1524231343.63	DNALetterCount	14.3
1524231351.74	DNALetterCount	0.0
1524231351.89	Entropy	0.0
1524231351.97	MaxMinProb	50.0
1524231358.06	FastQC	47.1
1524231358.24	DNALetterCount	60.0
1524231358.35	Entropy	20.0
1524231360.42	DNALetterCount	0.0
1524231360.58	Entropy	0.0
1524231360.66	MaxMinProb	0.0
1524231368.75	FastQC	23.0
1524231368.9	DNALetterCount	0.0
1524231376.04	FastQC	20.3
1524231379.25	DNALetterCount	0.0
1524231379.39	Entropy	20.0
1524231383.48	FastQC	22.8
1524231383.68	DNALetterCount	20.0
1524231385.8	DNALetterCount	16.7
1524231385.96	Entropy	0.0
1524231386.03	MaxMinProb	0.0
1524231388.13	FastQC	20.5
1524231388.33	DNALetterCount	0.0
1524231388.46	Entropy	0.0
1524231394.54	FastQC	23.2
1524231394.7	DNALetterCount	14.3
1524231394.84	Entropy	33.3
1524231401.91	FastQC	20.0
1524231404.23	DNALetterCount	0.0
1524231405.39	FastQC	17.8
1524231405.57	DNALetterCount	28.6
1524231410.73	DNALetterCount	0.0
1524231410.91	Entropy	20.0
1524231410.98	MaxMinProb	25.0
1524231412.07	DNALetterCount	38.5
1524231412.24	Entropy	0.0
1524231412.3	MaxMinProb	0.0
1524231420.43	FastQC	26.2
1524231420.6	DNALetterCount	25.0
1524231425.71	FastQC	26.7
1524231428.91	DNALetterCount	11.1
1524231429.1	Entropy	0.0
1524231432.19	FastQC	36.5
1524231435.43	DNALetterCount	60.0
1524231435.55	Entropy	66.7
1524231435.62	MaxMinProb	50.0
1524231437.71	DNALetterCount	20.0
1524231437.89	Entropy	20.0
1524231437.96	MaxMinProb	11.1
1524231445.07	FastQC	0
