time	cpuload
1524345255.17	29.2
1524345257.46	30.8
1524345263.92	33.6
1524345265.29	29.2
1524345277.3	24.2
1524345279.62	36.7
1524345285.0	22.2
1524345289.41	28.2
1524345315.1	29.3
1524345323.49	28.4
1524345332.91	44.4
1524345343.35	33.5
1524345363.18	22.5
