time	name	error	cpu	duration
1524345248.88	DNALetterCount	null	0.0	-3.32980793967
1524345249.01	Entropy	null	0.0	-5.1079941561
1524345249.08	MaxMinProb	null	20.0	-4.46045512161
1524345255.17	FastQC	error	29.2	-1.96129575173
1524345255.35	DNALetterCount	null	0.0	-3.539874393
1524345257.46	FastQC	error	30.8	1.15790394515
1524345260.7	DNALetterCount	null	62.5	-3.14883700196
1524345260.84	Entropy	null	33.3	-5.01493702137
1524345263.92	FastQC	error	33.6	-2.010078713
1524345264.11	DNALetterCount	null	20.0	-3.40268001327
1524345264.22	Entropy	null	0.0	-5.17381595588
1524345265.29	FastQC	error	29.2	-2.05950570804
1524345265.47	DNALetterCount	null	25.0	-3.44058042336
1524345265.58	Entropy	null	0.0	-5.17453194133
1524345266.66	DNALetterCount	null	40.0	-3.20022272704
1524345266.8	Entropy	null	33.3	-5.10720607189
1524345266.88	MaxMinProb	null	20.0	-4.49372091416
1524345273.98	DNALetterCount	null	33.3	-3.06735556559
1524345274.14	Entropy	null	50.0	-5.02860663718
1524345274.21	MaxMinProb	null	0.0	-4.46601994322
1524345277.3	FastQC	error	24.2	-1.94162233682
1524345277.5	DNALetterCount	null	20.0	-3.507990388
1524345279.62	FastQC	error	36.7	-1.9685452294
1524345279.81	DNALetterCount	null	33.3	-3.41416379292
1524345279.93	Entropy	null	0.0	-5.11020410175
1524345285.0	FastQC	null	22.2	0.789316511838
1524345287.28	DNALetterCount	null	40.0	-3.15822831513
1524345289.41	FastQC	error	28.2	1.15663872119
1524345292.64	DNALetterCount	null	25.0	-3.15395164665
1524345292.76	Entropy	null	20.0	-5.12637395504
1524345292.83	MaxMinProb	null	0.0	-4.47521047567
1524345293.92	DNALetterCount	null	0.0	-3.50725845749
1524345294.04	Entropy	null	0.0	-5.15298360513
1524345294.11	MaxMinProb	null	33.3	-4.41085385491
1524345295.2	DNALetterCount	null	20.0	-3.28368395429
1524345295.32	Entropy	null	0.0	-5.09227166867
1524345295.39	MaxMinProb	null	0.0	-4.49775994216
1524345302.48	DNALetterCount	null	28.6	-3.01271371933
1524345302.63	Entropy	null	25.0	-5.02842459724
1524345302.7	MaxMinProb	null	25.0	-4.47255509801
1524345306.8	DNALetterCount	null	0.0	-3.48679190924
1524345306.93	Entropy	null	20.0	-5.16731139025
1524345307.0	MaxMinProb	null	0.0	-4.41909360191
1524345315.1	FastQC	error	29.3	1.14928980865
1524345318.29	DNALetterCount	null	20.0	-3.34078999679
1524345318.42	Entropy	null	33.3	-5.0163027981
1524345323.49	FastQC	error	28.4	1.15823778362
1524345326.72	DNALetterCount	null	57.1	-3.5143216201
1524345326.83	Entropy	null	0.0	-5.15769533114
1524345332.91	FastQC	null	44.4	0.785567804625
1524345335.21	DNALetterCount	null	33.3	-3.20157506354
1524345343.35	FastQC	error	33.5	1.1632942381
1524345346.59	DNALetterCount	null	0.0	-3.35300439589
1524345346.7	Entropy	null	33.3	-5.04213348432
1524345346.79	MaxMinProb	null	33.3	-4.40918658307
1524345354.89	DNALetterCount	null	16.7	-3.52703261397
1524345355.01	Entropy	null	0.0	-5.11933223593
1524345355.08	MaxMinProb	null	16.7	-4.35246161042
1524345363.18	FastQC	error	22.5	-2.06087152176
1524345363.33	DNALetterCount	null	20.0	-3.51633395938
1524345364.44	DNALetterCount	null	33.3	-3.02611157222
1524345364.6	Entropy	null	0.0	-5.12589225946
1524345364.67	MaxMinProb	null	0.0	-4.4666217216
1524345366.77	DNALetterCount	null	42.9	-3.31412139532
1524345366.9	Entropy	null	20.0	-4.97694929605
1524345366.98	MaxMinProb	null	25.0	-4.50351535373
